client timestamp,button,state,x,y
0,NoButton,Move,640,280
19,NoButton,Move,640,256
41,NoButton,Move,640,233
59,NoButton,Move,640,212
79,NoButton,Move,640,191
98,NoButton,Move,640,170
117,NoButton,Move,640,149
134,NoButton,Move,640,130
153,NoButton,Move,640,109
172,NoButton,Move,640,88
194,NoButton,Move,640,65
211,NoButton,Move,640,45
229,NoButton,Move,640,26
231,LeftButton,Pressed,640,26
233,LeftButton,Released,640,26
6841,NoButton,Move,994,632
6842,LeftButton,Pressed,994,632
6845,LeftButton,Released,994,632
