client timestamp,button,state,x,y
4277,NoButton,Move,666,483
4294,NoButton,Move,668,478
4310,NoButton,Move,674,467
4327,NoButton,Move,678,458
4344,NoButton,Move,680,447
4360,NoButton,Move,680,431
4377,NoButton,Move,680,413
4393,NoButton,Move,684,392
4409,NoButton,Move,697,368
4426,NoButton,Move,720,350
4444,NoButton,Move,759,336
4460,NoButton,Move,802,328
4476,NoButton,Move,850,325
4493,NoButton,Move,901,324
4510,NoButton,Move,948,324
4527,NoButton,Move,993,324
4543,NoButton,Move,1023,324
4560,NoButton,Move,1055,323
4576,NoButton,Move,1067,323
4593,NoButton,Move,1078,323
4610,NoButton,Move,1089,324
4627,NoButton,Move,1097,326
4644,NoButton,Move,1104,329
4660,NoButton,Move,1112,332
4676,NoButton,Move,1121,334
4693,NoButton,Move,1135,337
4710,NoButton,Move,1156,341
4727,NoButton,Move,1175,344
4743,NoButton,Move,1177,344
4777,NoButton,Move,1172,346
4793,NoButton,Move,1166,348
4810,NoButton,Move,1163,348
4826,NoButton,Move,1161,348
4843,NoButton,Move,1158,348
4860,NoButton,Move,1155,348
4877,NoButton,Move,1153,349
4893,NoButton,Move,1151,350
4910,NoButton,Move,1150,352
4927,NoButton,Move,1150,353
4961,NoButton,Move,1149,353
4978,Left,Pressed,1149,353
5041,Left,Released,1149,353
5110,NoButton,Move,1145,353
5128,NoButton,Move,1139,352
5144,NoButton,Move,1132,350
5160,NoButton,Move,1125,350
5177,NoButton,Move,1117,351
5193,NoButton,Move,1108,353
5210,NoButton,Move,1100,354
5226,NoButton,Move,1085,358
5243,NoButton,Move,1070,360
5260,NoButton,Move,1046,362
5277,NoButton,Move,1009,364
5294,NoButton,Move,962,367
5310,NoButton,Move,916,373
5326,NoButton,Move,885,381
5344,NoButton,Move,862,392
5360,NoButton,Move,845,406
5376,NoButton,Move,844,411
5392,NoButton,Move,844,416
5409,NoButton,Move,845,421
5426,NoButton,Move,840,427
5444,NoButton,Move,826,432
5460,NoButton,Move,795,436
5477,NoButton,Move,753,437
5493,NoButton,Move,700,433
5509,NoButton,Move,642,424
5527,NoButton,Move,581,409
5543,NoButton,Move,523,390
5559,NoButton,Move,441,361
5576,NoButton,Move,397,347
5593,NoButton,Move,362,337
5609,NoButton,Move,342,331
5627,NoButton,Move,332,326
5643,NoButton,Move,326,320
5660,NoButton,Move,321,310
5676,NoButton,Move,317,302
5693,NoButton,Move,309,288
5710,NoButton,Move,298,273
5727,NoButton,Move,288,259
5744,NoButton,Move,282,252
5760,NoButton,Move,281,251
5776,NoButton,Move,280,250
5793,NoButton,Move,278,249
5843,NoButton,Move,278,248
5860,NoButton,Move,278,247
5877,NoButton,Move,277,246
5893,NoButton,Move,277,245
5926,NoButton,Move,277,244
5943,NoButton,Move,277,243
5954,NoButton,Move,279,243
5954,Left,Pressed,279,243
5960,Left,Drag,281,243
5978,Left,Drag,290,246
5994,Left,Drag,300,250
6011,Left,Drag,324,260
6028,Left,Drag,356,273
6045,Left,Drag,393,289
6061,Left,Drag,431,305
6079,Left,Drag,472,323
6096,Left,Drag,513,343
6112,Left,Drag,553,364
6128,Left,Drag,600,391
6145,Left,Drag,624,406
6161,Left,Drag,643,417
6178,Left,Drag,657,426
6194,Left,Drag,665,430
6211,Left,Drag,671,434
6228,Left,Drag,679,437
6244,Left,Drag,685,440
6261,Left,Drag,688,441
6278,Left,Drag,690,442
6326,Left,Drag,692,444
6343,Left,Drag,698,451
6361,Left,Drag,710,462
6378,Left,Drag,718,470
6394,Left,Drag,720,472
6460,Left,Drag,719,472
6476,Left,Drag,718,473
6494,Left,Drag,717,473
6511,Left,Drag,716,473
6528,Left,Drag,715,473
6545,Left,Drag,714,473
6561,Left,Drag,713,473
6581,Left,Released,713,473
6595,NoButton,Move,713,474
6694,NoButton,Move,713,472
6710,NoButton,Move,712,463
6727,NoButton,Move,710,454
6743,NoButton,Move,710,443
6760,NoButton,Move,711,427
6777,NoButton,Move,715,418
6793,NoButton,Move,719,409
6810,NoButton,Move,720,400
6826,NoButton,Move,713,391
6843,NoButton,Move,688,381
6860,NoButton,Move,649,375
6876,NoButton,Move,599,374
6893,NoButton,Move,545,379
6910,NoButton,Move,498,388
6926,NoButton,Move,464,401
6943,NoButton,Move,436,419
6959,NoButton,Move,407,446
6976,NoButton,Move,397,463
6993,NoButton,Move,393,473
7010,NoButton,Move,392,481
7026,NoButton,Move,391,488
7043,NoButton,Move,390,494
7059,NoButton,Move,386,500
7076,NoButton,Move,381,504
7094,NoButton,Move,379,505
7111,NoButton,Move,378,505
7160,NoButton,Move,376,505
7243,NoButton,Move,375,505
7257,Left,Pressed,375,505
7368,Left,Drag,377,503
7369,Left,Released,377,503
7377,NoButton,Move,378,503
7394,NoButton,Move,387,496
7409,NoButton,Move,395,492
7426,NoButton,Move,410,484
7443,NoButton,Move,433,474
7460,NoButton,Move,465,460
7476,NoButton,Move,502,445
7493,NoButton,Move,543,428
7510,NoButton,Move,576,413
7526,NoButton,Move,605,399
7543,NoButton,Move,634,388
7560,NoButton,Move,674,378
7577,NoButton,Move,692,374
7593,NoButton,Move,704,371
7609,NoButton,Move,703,369
7626,NoButton,Move,689,364
7643,NoButton,Move,650,357
7660,NoButton,Move,585,347
7677,NoButton,Move,504,336
7693,NoButton,Move,420,323
7710,NoButton,Move,335,304
7726,NoButton,Move,264,286
7743,NoButton,Move,209,269
7759,NoButton,Move,172,251
7776,NoButton,Move,175,243
7793,NoButton,Move,182,237
7810,NoButton,Move,193,230
7826,NoButton,Move,200,226
7843,NoButton,Move,202,225
7897,NoButton,Move,202,223
7910,NoButton,Move,202,221
7927,NoButton,Move,199,216
7943,NoButton,Move,198,213
7960,NoButton,Move,194,208
7976,NoButton,Move,190,203
7994,NoButton,Move,185,197
8010,NoButton,Move,178,190
8027,NoButton,Move,171,183
8043,NoButton,Move,165,177
8059,NoButton,Move,161,173
8077,NoButton,Move,160,172
8093,NoButton,Move,160,171
8129,Left,Pressed,160,171
8224,Left,Released,160,171
8344,NoButton,Move,163,171
8360,NoButton,Move,180,172
8377,NoButton,Move,207,175
8393,NoButton,Move,243,182
8410,NoButton,Move,284,192
8427,NoButton,Move,336,207
8443,NoButton,Move,404,227
8459,NoButton,Move,487,252
8476,NoButton,Move,577,279
8493,NoButton,Move,660,303
8509,NoButton,Move,735,324
8527,NoButton,Move,794,343
8543,NoButton,Move,832,358
8560,NoButton,Move,853,371
8576,NoButton,Move,848,377
8593,NoButton,Move,841,379
8610,NoButton,Move,833,384
8626,NoButton,Move,829,393
8643,NoButton,Move,826,402
8659,NoButton,Move,824,416
8676,NoButton,Move,822,436
8693,NoButton,Move,822,456
8710,NoButton,Move,822,472
8727,NoButton,Move,822,484
8743,NoButton,Move,822,494
8760,NoButton,Move,822,506
8776,NoButton,Move,825,512
8793,NoButton,Move,829,518
8809,NoButton,Move,832,523
8826,NoButton,Move,833,526
8843,NoButton,Move,833,527
8859,NoButton,Move,833,529
8876,NoButton,Move,833,531
8962,Left,Pressed,833,531
9032,Left,Released,833,531
9097,Left,Pressed,833,531
9177,Left,Drag,832,531
9192,Left,Released,832,531
9243,NoButton,Move,829,526
9260,NoButton,Move,825,519
9277,NoButton,Move,821,511
9293,NoButton,Move,814,499
9310,NoButton,Move,802,482
9327,NoButton,Move,786,460
9343,NoButton,Move,771,438
9360,NoButton,Move,747,405
9376,NoButton,Move,727,386
9393,NoButton,Move,701,372
9410,NoButton,Move,676,366
9426,NoButton,Move,664,365
9443,NoButton,Move,664,366
9459,NoButton,Move,667,367
9476,NoButton,Move,684,367
9493,NoButton,Move,712,366
9510,NoButton,Move,755,365
9527,NoButton,Move,814,365
9543,NoButton,Move,883,367
9560,NoButton,Move,981,379
9576,NoButton,Move,1034,390
9593,NoButton,Move,1072,401
9610,NoButton,Move,1093,409
9626,NoButton,Move,1095,412
9643,NoButton,Move,1096,415
9660,NoButton,Move,1094,421
9677,NoButton,Move,1092,429
9693,NoButton,Move,1092,436
9709,NoButton,Move,1095,446
9726,NoButton,Move,1104,463
9743,NoButton,Move,1115,477
9759,NoButton,Move,1126,487
9777,NoButton,Move,1129,489
9793,NoButton,Move,1130,489
9826,NoButton,Move,1130,490
9898,NoButton,Move,1131,490
9910,NoButton,Move,1133,491
9926,NoButton,Move,1139,492
9943,NoButton,Move,1143,494
9960,NoButton,Move,1144,494
9969,Right,Pressed,1144,494
10074,Right,Drag,1143,494
10075,Right,Released,1143,494
10094,NoButton,Move,1140,494
10110,NoButton,Move,1136,493
10126,NoButton,Move,1134,492
10227,NoButton,Move,1132,492
10243,NoButton,Move,1123,492
10260,NoButton,Move,1113,491
10276,NoButton,Move,1095,488
10293,NoButton,Move,1073,483
10309,NoButton,Move,1036,476
10326,NoButton,Move,986,470
10343,NoButton,Move,929,465
10360,NoButton,Move,861,464
10376,NoButton,Move,827,467
10392,NoButton,Move,804,471
10410,NoButton,Move,790,475
10426,NoButton,Move,788,477
10443,NoButton,Move,788,479
10459,NoButton,Move,790,485
10476,NoButton,Move,791,492
10493,NoButton,Move,788,499
10509,NoButton,Move,782,509
10527,NoButton,Move,778,519
10543,NoButton,Move,778,524
10559,NoButton,Move,779,525
10702,NoButton,Move,780,525
10710,NoButton,Move,782,524
10727,NoButton,Move,788,522
10743,NoButton,Move,791,520
10760,NoButton,Move,799,517
10776,NoButton,Move,805,514
10865,Right,Pressed,805,514
10962,Right,Drag,805,515
10963,Right,Released,805,515
10978,NoButton,Move,805,516
10993,NoButton,Move,805,517
11010,NoButton,Move,805,518
11043,NoButton,Move,799,516
11060,NoButton,Move,793,513
11076,NoButton,Move,788,512
11093,NoButton,Move,777,508
11111,NoButton,Move,765,504
11127,NoButton,Move,758,502
11144,NoButton,Move,738,498
11159,NoButton,Move,723,495
11176,NoButton,Move,699,490
11193,NoButton,Move,662,482
11209,NoButton,Move,618,472
11226,NoButton,Move,575,461
11242,NoButton,Move,535,446
11259,NoButton,Move,507,431
11276,NoButton,Move,486,416
11293,NoButton,Move,472,402
11309,NoButton,Move,465,389
11326,NoButton,Move,462,376
11342,NoButton,Move,462,361
11360,NoButton,Move,466,337
11376,NoButton,Move,470,328
11393,NoButton,Move,472,322
11410,NoButton,Move,472,321
11426,NoButton,Move,472,319
11443,NoButton,Move,471,317
11459,NoButton,Move,471,315
11497,NoButton,Move,471,314
11594,Left,Pressed,471,314
11626,Left,Drag,470,314
11664,Left,Released,470,314
11726,NoButton,Move,471,314
11759,NoButton,Move,473,314
11776,NoButton,Move,482,313
11793,NoButton,Move,493,314
11810,NoButton,Move,508,316
11826,NoButton,Move,519,318
11877,NoButton,Move,626,340
11909,NoButton,Move,673,356
11926,NoButton,Move,702,361
11943,NoButton,Move,735,361
11959,NoButton,Move,781,343
11976,NoButton,Move,801,328
11992,NoButton,Move,815,309
12009,NoButton,Move,822,289
12026,NoButton,Move,825,264
12043,NoButton,Move,825,242
12059,NoButton,Move,825,222
12076,NoButton,Move,825,208
12092,NoButton,Move,825,198
12110,NoButton,Move,829,191
12127,NoButton,Move,833,187
12144,NoButton,Move,837,184
12159,NoButton,Move,837,183
12193,NoButton,Move,838,183
12226,NoButton,Move,838,182
12260,NoButton,Move,838,181
12280,Left,Pressed,838,181
12328,Left,Released,838,181
12360,NoButton,Move,837,181
12410,Left,Pressed,837,181
12427,Left,Drag,837,180
12472,Left,Released,837,180
12509,NoButton,Move,837,181
12543,NoButton,Move,836,182
12716,NoButton,Move,833,183
12726,NoButton,Move,836,187
12743,NoButton,Move,853,196
12759,NoButton,Move,910,213
12776,NoButton,Move,958,219
12793,NoButton,Move,1006,220
12810,NoButton,Move,1053,220
12826,NoButton,Move,1092,221
12843,NoButton,Move,1117,221
12860,NoButton,Move,1128,220
12876,NoButton,Move,1129,219
12893,NoButton,Move,1129,218
12978,NoButton,Move,1129,217
13059,NoButton,Move,1129,216
13060,Left,Pressed,1129,216
13120,Left,Released,1129,216
13177,Left,Pressed,1129,216
13243,Left,Drag,1128,216
13249,Left,Released,1128,216
13326,NoButton,Move,1126,216
13343,NoButton,Move,1123,216
13360,NoButton,Move,1118,216
13376,NoButton,Move,1113,216
13393,NoButton,Move,1112,216
13426,NoButton,Move,1112,217
13443,NoButton,Move,1112,218
13459,NoButton,Move,1108,223
13477,NoButton,Move,1100,232
13492,NoButton,Move,1094,241
13509,NoButton,Move,1090,248
13526,NoButton,Move,1084,257
13543,NoButton,Move,1069,266
13560,NoButton,Move,1037,278
13576,NoButton,Move,954,293
13592,NoButton,Move,874,298
13610,NoButton,Move,790,299
13626,NoButton,Move,717,295
13642,NoButton,Move,660,289
13660,NoButton,Move,626,283
13676,NoButton,Move,625,281
13693,NoButton,Move,630,279
13709,NoButton,Move,644,275
13726,NoButton,Move,659,273
13743,NoButton,Move,672,271
13759,NoButton,Move,686,270
13776,NoButton,Move,691,269
13793,NoButton,Move,694,268
13809,NoButton,Move,697,267
13826,NoButton,Move,699,264
13843,NoButton,Move,703,261
13859,NoButton,Move,709,257
13876,NoButton,Move,717,252
13893,NoButton,Move,727,246
13909,NoButton,Move,734,241
13926,NoButton,Move,736,240
13943,NoButton,Move,736,239
13960,Right,Pressed,736,239
14057,Right,Released,736,239
14077,NoButton,Move,735,239
14109,NoButton,Move,734,239
14328,NoButton,Move,736,239
14343,NoButton,Move,747,238
14359,NoButton,Move,774,238
14376,NoButton,Move,842,234
14393,NoButton,Move,904,230
14410,NoButton,Move,970,225
14426,NoButton,Move,1035,221
14443,NoButton,Move,1087,219
14460,NoButton,Move,1123,217
14476,NoButton,Move,1134,216
14493,NoButton,Move,1134,215
14509,NoButton,Move,1133,215
14526,NoButton,Move,1131,215
14560,NoButton,Move,1132,215
14576,NoButton,Move,1133,216
14593,NoButton,Move,1133,217
14696,NoButton,Move,1133,216
14697,Left,Pressed,1133,216
14753,Left,Released,1133,216
14818,Left,Pressed,1133,216
14865,Left,Drag,1132,216
14877,Left,Drag,1131,216
14880,Left,Released,1131,216
14894,NoButton,Move,1129,216
14911,NoButton,Move,1125,216
14927,NoButton,Move,1120,216
14943,NoButton,Move,1111,216
14959,NoButton,Move,1084,217
14976,NoButton,Move,1052,217
14993,NoButton,Move,1016,219
15009,NoButton,Move,966,224
15026,NoButton,Move,904,233
15043,NoButton,Move,845,245
15059,NoButton,Move,788,258
15076,NoButton,Move,742,270
15092,NoButton,Move,712,280
15109,NoButton,Move,709,283
15126,NoButton,Move,713,286
15143,NoButton,Move,724,290
15160,NoButton,Move,735,298
15175,NoButton,Move,733,302
15192,NoButton,Move,726,305
15209,NoButton,Move,713,306
15226,NoButton,Move,692,304
15242,NoButton,Move,670,299
15259,NoButton,Move,643,290
15275,NoButton,Move,617,281
15293,NoButton,Move,591,273
15309,NoButton,Move,573,266
15326,NoButton,Move,562,259
15343,NoButton,Move,558,253
15359,NoButton,Move,559,244
15375,NoButton,Move,561,241
15393,NoButton,Move,563,239
15410,NoButton,Move,564,238
15426,NoButton,Move,565,236
15443,NoButton,Move,568,233
