client timestamp,button,state,x,y
106254,NoButton,Move,642,603
106265,NoButton,Move,644,600
106291,NoButton,Move,655,578
106316,NoButton,Move,667,549
106342,NoButton,Move,686,486
106366,NoButton,Move,691,457
106393,NoButton,Move,692,453
106416,NoButton,Move,692,452
106697,NoButton,Move,692,451
106715,NoButton,Move,692,450
106741,NoButton,Move,694,444
106766,NoButton,Move,699,431
106791,NoButton,Move,701,423
106817,NoButton,Move,704,413
106841,NoButton,Move,705,408
106866,NoButton,Move,707,401
106892,NoButton,Move,707,398
106916,NoButton,Move,708,394
107146,NoButton,Move,708,393
107166,NoButton,Move,709,392
107191,NoButton,Move,712,381
107216,NoButton,Move,717,360
107241,NoButton,Move,719,355
107265,NoButton,Move,720,351
107290,NoButton,Move,721,347
107316,NoButton,Move,722,345
107340,NoButton,Move,722,344
107366,NoButton,Move,723,342
107392,NoButton,Move,724,340
107416,NoButton,Move,724,339
109032,Left,Pressed,724,339
109207,Left,Released,724,339
109208,Left,Pressed,724,339
109208,Left,Released,724,339
109816,NoButton,Move,725,339
109840,NoButton,Move,770,344
109866,NoButton,Move,990,369
109891,NoButton,Move,1065,376
109916,NoButton,Move,1115,384
109941,NoButton,Move,1119,387
109966,NoButton,Move,1121,387
110096,NoButton,Move,1121,388
110176,NoButton,Move,1122,388
110191,NoButton,Move,1125,388
110216,NoButton,Move,1146,388
110241,NoButton,Move,1161,388
110266,NoButton,Move,1169,389
110293,NoButton,Move,1172,389
110316,NoButton,Move,1178,392
110341,NoButton,Move,1181,392
110366,NoButton,Move,1184,394
110391,NoButton,Move,1186,395
110416,NoButton,Move,1188,397
110441,NoButton,Move,1189,398
110466,NoButton,Move,1190,398
110491,NoButton,Move,1192,399
110517,NoButton,Move,1193,400
110541,NoButton,Move,1194,400
110726,Left,Pressed,1194,400
110892,Left,Released,1194,400
110894,Left,Pressed,1194,400
110895,Left,Released,1194,400
111352,NoButton,Move,1193,400
111365,NoButton,Move,1152,400
111390,NoButton,Move,949,407
111415,NoButton,Move,710,424
111441,NoButton,Move,619,430
111465,NoButton,Move,594,430
111686,NoButton,Move,593,430
111695,NoButton,Move,592,430
111716,NoButton,Move,589,430
111741,NoButton,Move,532,420
111766,NoButton,Move,502,408
111791,NoButton,Move,496,405
111819,NoButton,Move,491,402
111841,NoButton,Move,486,398
111867,NoButton,Move,483,394
111891,NoButton,Move,481,392
112134,NoButton,Move,480,392
112146,NoButton,Move,479,391
112166,NoButton,Move,478,390
112192,NoButton,Move,473,387
112216,NoButton,Move,469,383
112242,NoButton,Move,467,381
112266,NoButton,Move,465,378
112291,NoButton,Move,464,377
112316,NoButton,Move,463,375
112341,NoButton,Move,462,374
112366,NoButton,Move,461,373
112761,Right,Pressed,461,373
112891,Right,Released,461,373
115692,Left,Pressed,457,382
115694,Left,Drag,457,382
115718,Left,Drag,457,382
115779,Left,Released,457,382
115816,NoButton,Move,457,382
116372,NoButton,Move,457,381
116392,NoButton,Move,456,361
116416,NoButton,Move,449,307
116442,NoButton,Move,442,226
116466,NoButton,Move,442,182
116492,NoButton,Move,443,150
116516,NoButton,Move,444,146
116542,NoButton,Move,445,143
116895,NoButton,Move,446,143
116916,NoButton,Move,447,144
116941,NoButton,Move,449,145
116966,NoButton,Move,449,146
117381,Left,Pressed,449,146
117577,Left,Released,449,146
117959,NoButton,Move,451,146
117969,NoButton,Move,471,149
117990,NoButton,Move,700,147
118016,NoButton,Move,899,162
118042,NoButton,Move,1032,203
118067,NoButton,Move,1064,215
118441,NoButton,Move,1065,215
118466,NoButton,Move,1068,214
118492,NoButton,Move,1080,212
118516,NoButton,Move,1085,210
118542,NoButton,Move,1089,209
118566,NoButton,Move,1090,209
118721,NoButton,Move,1091,209
118772,Left,Pressed,1091,209
118971,Left,Released,1091,209
119233,NoButton,Move,1089,209
119243,NoButton,Move,1079,210
119265,NoButton,Move,1017,219
119292,NoButton,Move,921,222
