client timestamp,button,state,x,y
0,NoButton,Move,1312,853
14,NoButton,Move,1310,853
18,NoButton,Move,1309,853
24,NoButton,Move,1307,853
29,NoButton,Move,1305,852
36,NoButton,Move,1302,851
42,NoButton,Move,1299,850
47,NoButton,Move,1295,848
54,NoButton,Move,1285,843
60,NoButton,Move,1274,838
67,NoButton,Move,1254,828
72,NoButton,Move,1228,817
78,NoButton,Move,1197,805
84,NoButton,Move,1163,792
91,NoButton,Move,1134,780
97,NoButton,Move,1133,779
496,NoButton,Move,1132,779
497,NoButton,Move,1131,780
503,NoButton,Move,1130,782
509,NoButton,Move,1129,782
514,NoButton,Move,1124,783
521,NoButton,Move,1123,782
529,NoButton,Move,1123,781
544,NoButton,Move,1123,780
557,NoButton,Move,1123,779
561,NoButton,Move,1123,778
566,NoButton,Move,1123,777
571,NoButton,Move,1123,776
574,NoButton,Move,1123,775
581,NoButton,Move,1123,772
587,NoButton,Move,1122,768
593,NoButton,Move,1121,763
599,NoButton,Move,1119,755
606,NoButton,Move,1114,744
611,NoButton,Move,1108,731
617,NoButton,Move,1098,714
623,NoButton,Move,1085,694
630,NoButton,Move,1069,671
636,NoButton,Move,1051,646
642,NoButton,Move,1029,615
648,NoButton,Move,1008,589
654,NoButton,Move,988,563
660,NoButton,Move,967,537
666,NoButton,Move,947,511
672,NoButton,Move,925,485
678,NoButton,Move,910,465
685,NoButton,Move,891,441
690,NoButton,Move,875,420
696,NoButton,Move,861,401
702,NoButton,Move,849,385
708,NoButton,Move,839,370
715,NoButton,Move,830,358
721,NoButton,Move,824,348
727,NoButton,Move,820,341
733,NoButton,Move,818,337
738,NoButton,Move,817,336
745,NoButton,Move,816,335
2904,NoButton,Move,815,335
2944,NoButton,Move,814,335
2962,NoButton,Move,813,335
3016,NoButton,Move,812,335
3051,NoButton,Move,811,335
3093,NoButton,Move,810,335
3106,NoButton,Move,810,336
3130,NoButton,Move,809,336
3150,NoButton,Move,808,336
3176,NoButton,Move,807,336
3213,NoButton,Move,806,336
3246,NoButton,Move,806,337
3257,NoButton,Move,805,337
3276,NoButton,Move,804,337
3311,NoButton,Move,803,337
3342,NoButton,Move,803,338
3344,NoButton,Move,802,338
3379,NoButton,Move,801,338
3471,NoButton,Move,800,338
3512,NoButton,Move,800,339
3956,NoButton,Move,799,339
4001,NoButton,Move,798,339
4005,NoButton,Move,798,340
4024,NoButton,Move,797,340
4036,NoButton,Move,796,340
4049,NoButton,Move,796,341
4059,NoButton,Move,795,341
4108,NoButton,Move,795,342
4116,NoButton,Move,795,343
4120,NoButton,Move,794,344
4132,NoButton,Move,794,345
4139,NoButton,Move,794,346
4145,NoButton,Move,793,346
4151,NoButton,Move,793,347
4157,NoButton,Move,793,348
4162,NoButton,Move,792,349
4175,NoButton,Move,792,350
4187,NoButton,Move,792,351
4193,NoButton,Move,792,352
4205,NoButton,Move,792,353
4212,NoButton,Move,791,354
4224,NoButton,Move,791,355
4236,NoButton,Move,791,356
4260,NoButton,Move,791,357
4266,NoButton,Move,790,357
4284,NoButton,Move,790,358
4333,NoButton,Move,790,359
4351,NoButton,Move,790,360
4375,NoButton,Move,789,360
4393,NoButton,Move,789,361
4399,NoButton,Move,788,361
4405,NoButton,Move,788,362
4417,NoButton,Move,788,363
4424,NoButton,Move,788,364
4429,NoButton,Move,787,364
4438,NoButton,Move,787,365
4456,NoButton,Move,787,366
4468,NoButton,Move,787,367
4472,NoButton,Move,786,367
4478,NoButton,Move,786,368
4486,NoButton,Move,786,369
4492,NoButton,Move,786,370
4497,NoButton,Move,785,370
4502,NoButton,Move,785,372
4508,NoButton,Move,784,373
4515,NoButton,Move,784,375
4520,NoButton,Move,783,377
4527,NoButton,Move,783,378
4532,NoButton,Move,783,380
4538,NoButton,Move,782,382
4545,NoButton,Move,782,383
4551,NoButton,Move,782,384
4557,NoButton,Move,782,386
4562,NoButton,Move,782,387
4569,NoButton,Move,781,388
4575,NoButton,Move,781,389
4581,NoButton,Move,780,391
4587,NoButton,Move,780,392
4593,NoButton,Move,780,394
4599,NoButton,Move,780,395
4605,NoButton,Move,779,397
4612,NoButton,Move,779,399
4618,NoButton,Move,779,401
4623,NoButton,Move,779,402
4630,NoButton,Move,779,403
4635,NoButton,Move,779,404
4641,NoButton,Move,779,405
4648,NoButton,Move,779,406
4653,NoButton,Move,779,407
4660,NoButton,Move,778,407
