startx,starty,stopx,stopy,length,time,userid
1299,845,578,401,353,10864,64
578,402,579,521,60,1774,64
579,522,720,448,375,13104,64
720,447,686,405,925,28821,64
687,406,812,707,715,62075,64
811,707,1308,852,83,1991,64
1129,683,682,210,88,1910,119
684,210,1108,463,58,2653,119
774,288,68,183,96,8606,90
72,182,770,315,89,2450,90
637,234,70,147,135,7583,126
70,146,67,241,380,44169,126
68,241,64,235,204,68258,126
64,234,112,236,113,6576,126
112,230,592,237,365,20995,126
594,238,452,271,274,16900,126
452,271,235,147,462,14124,126
235,135,85,171,450,27669,126
86,171,65,185,546,29233,126
65,185,71,204,379,30156,126
71,204,67,263,36,976,126
69,263,68,280,299,10704,126
68,280,69,197,147,11473,126
70,197,770,308,124,45055,126
1375,924,843,243,430,9590,97
842,244,822,324,88,2310,97
822,324,731,433,93,2110,97
730,433,1386,922,223,2519,97
1294,863,744,298,236,2241,63
744,299,731,438,168,2921,63
730,438,658,558,187,1752,63
658,559,667,615,25,253,63
666,615,790,679,248,2727,63
791,679,1322,872,72,552,63
1303,882,678,337,158,5160,121
677,337,612,488,599,17135,121
611,488,629,766,238,26451,121
630,766,1299,898,112,1166,121
1207,925,654,372,570,14090,128
654,372,623,687,638,29816,128
623,686,904,787,169,4522,128
905,787,1219,938,87,807,128
1280,891,545,315,143,21438,55
547,323,559,444,131,3071,55
568,454,565,704,86,14385,55
583,698,576,432,203,60971,55
584,430,657,707,100,54021,55
668,705,581,770,95,9767,55
593,774,1275,908,102,5172,55
1613,1198,942,331,221,12900,117
942,332,957,515,18,374,117
957,515,1026,661,235,21298,117
1025,661,941,843,71,1933,117
940,843,936,1125,39,968,117
936,1125,1072,529,188,10159,117
1072,529,953,798,62,23009,117
953,798,1596,1207,70,12570,117
1625,597,1056,498,148,4833,52
1056,499,1155,808,39,1250,52
1155,808,1643,1001,213,11726,52
912,842,562,310,558,9711,99
562,311,569,370,44,920,99
569,371,557,430,45,1228,99
557,431,557,501,38,1128,99
557,501,1862,245,229,2407,99
1876,566,1870,221,295,3780,99
1851,469,681,204,137,26425,99
681,205,1869,559,307,20265,99
1871,495,1870,365,233,32780,99
1869,517,692,199,328,2782,99
692,198,641,203,235,10692,99
